No,Name,Type1,Type2,Height,Weight,Legendary
83,Farfetch'd,Normal,Flying,0.8,15.0,0
84,Doduo,Normal,Flying,1.4,39.2,0
85,Dodrio,Normal,Flying,1.8,85.2,0
86,Seel,Water,None,1.1,90.0,0
87,Dewgong,Water,Ice,1.7,120.0,0
88,Grimer,Poison,None,0.9,30.0,0
89,Muk,Poison,None,1.2,30.0,0
90,Shellder,Water,None,0.3,4.0,0
91,Cloyster,Water,Ice,1.5,132.5,0
92,Gastly,Ghost,Poison,1.3,0.1,0
93,Haunter,Ghost,Poison,1.6,0.1,0
94,Gengar,Ghost,Poison,1.5,40.5,0
95,Onix,Rock,Ground,8.8,210.0,0
96,Drowzee,Psychic,None,1.0,32.4,0
97,Hypno,Psychic,None,1.6,75.6,0
98,Krabby,Water,None,0.4,6.5,0
99,Kingler,Water,None,1.3,60.0,0
100,Voltorb,Electric,None,0.5,10.4,0
101,Electrode,Electric,None,1.2,66.6,0
102,Exeggcute,Grass,Psychic,0.4,2.5,0
103,Exeggutor,Grass,Psychic,2.0,120.0,0
104,Cubone,Ground,None,0.4,6.5,0
105,Marowak,Ground,None,1.0,45.0,0
106,Hitmonlee,Fighting,None,1.5,49.8,0
107,Hitmonchan,Fighting,None,1.4,50.2,0
108,Lickitung,Normal,None,1.2,65.5,0
109,Koffing,Poison,None,0.6,1.0,0
110,Weezing,Poison,None,1.2,9.5,0
111,Rhyhorn,Ground,Rock,1.0,115.0,0
112,Rhydon,Ground,Rock,1.9,120.0,0
113,Chansey,Normal,None,1.1,34.6,0
114,Tangela,Grass,None,1.0,35.0,0
115,Kangaskhan,Normal,None,2.2,80.0,0
116,Horsea,Water,None,0.4,8.0,0
117,Seadra,Water,None,1.2,25.0,0
118,Goldeen,Water,None,0.6,15.0,0
119,Seaking,Water,None,1.3,39.0,0
120,Staryu,Water,None,0.8,34.5,0
121,Starmie,Water,Psychic,1.1,80.0,0
122,Mr. Mime,Psychic,Fairy,1.3,54.5,0
123,Scyther,Bug,Flying,1.5,56.0,0
124,Jynx,Ice,Psychic,1.4,40.6,0
125,Electabuzz,Electric,None,1.1,30.0,0
126,Magmar,Fire,None,1.3,44.5,0
127,Pinsir,Bug,None,1.5,55.0,0
128,Tauros,Normal,None,1.4,88.4,0
129,Magikarp,Water,None,0.9,10.0,0
130,Gyarados,Water,Flying,6.5,235.0,0
131,Lapras,Water,Ice,2.5,220.0,0
132,Ditto,Normal,None,0.3,4.0,0
133,Eevee,Normal,None,0.3,6.5,0
134,Vaporeon,Water,None,1.0,29.0,0
135,Jolteon,Electric,None,0.8,24.5,0
136,Flareon,Fire,None,0.9,25.0,0
137,Porygon,Normal,None,0.8,36.5,0
138,Omanyte,Rock,Water,0.4,7.5,0
139,Omastar,Rock,Water,1.0,35.0,0
140,Kabuto,Rock,Water,0.5,11.5,0
141,Kabutops,Rock,Water,1.3,40.5,0
142,Aerodactyl,Rock,Flying,1.8,59.0,0
143,Snorlax,Normal,None,2.1,460.0,0
144,Articuno,Ice,Flying,1.7,55.4,1
145,Zapdos,Electric,Flying,1.6,52.6,1
146,Moltres,Fire,Flying,2.0,60.0,1
147,Dratini,Dragon,None,1.8,3.3,0
148,Dragonair,Dragon,None,4.0,16.5,0
149,Dragonite,Dragon,Flying,2.2,210.0,0
150,Mewtwo,Psychic,None,2.0,122.0,1
151,Mew,Psychic,None,0.4,4.0,1
152,Chikorita,Grass,None,0.9,6.4,0
153,Bayleef,Grass,None,1.2,15.8,0
154,Meganium,Grass,None,1.8,100.5,0
155,Cyndaquil,Fire,None,0.5,7.9,0
156,Quilava,Fire,None,0.9,19.0,0
157,Typhlosion,Fire,None,1.7,79.5,0
158,Totodile,Water,None,0.6,9.5,0
159,Croconaw,Water,None,1.1,25.0,0
160,Feraligatr,Water,None,2.3,88.8,0
161,Sentret,Normal,None,0.8,15.0,0
162,Furret,Normal,None,1.8,32.5,0
163,Hoothoot,Normal,Flying,0.7,21.2,0
164,Noctowl,Normal,Flying,1.6,40.8,0
165,Ledyba,Bug,Flying,1.0,10.9,0
166,Ledian,Bug,Flying,1.4,35.6,0
167,Spinarak,Bug,Poison,0.5,8.5,0
168,Ariados,Bug,Poison,1.1,33.5,0
169,Crobat,Poison,Flying,1.8,75.0,0
170,Chinchou,Water,Electric,0.5,12.0,0
171,Lanturn,Water,Electric,1.2,22.5,0
172,Pichu,Electric,None,0.3,2.0,0
173,Cleffa,Fairy,None,0.3,3.0,0
174,Igglybuff,Normal,Fairy,0.3,1.0,0
175,Togepi,Fairy,None,0.3,1.5,0
176,Togetic,Fairy,Flying,0.6,3.2,0
177,Natu,Psychic,Flying,0.2,2.0,0
178,Xatu,Psychic,Flying,1.5,15.0,0
179,Mareep,Electric,None,0.6,15.0,0
180,Flaaffy,Electric,None,0.8,13.3,0
181,Ampharos,Electric,None,1.4,61.5,0
182,Bellossom,Grass,None,0.4,5.8,0
183,Marill,Water,Fairy,0.4,8.5,0
184,Azumarill,Water,Fairy,0.8,28.5,0
185,Sudowoodo,Rock,None,1.2,38.0,0
186,Politoed,Water,None,1.1,33.9,0
187,Hoppip,Grass,Flying,0.4,0.5,0
188,Skiploom,Grass,Flying,0.6,1.0,0
189,Jumpluff,Grass,Flying,0.8,3.0,0
190,Aipom,Normal,None,0.8,11.5,0
191,Sunkern,Grass,None,0.3,1.8,0
192,Sunflora,Grass,None,0.8,8.5,0
193,Yanma,Bug,Flying,1.2,38.0,0
194,Wooper,Water,Ground,0.4,8.5,0
195,Quagsire,Water,Ground,1.4,32.5,0
196,Espeon,Psychic,None,0.9,26.5,0
197,Umbreon,Dark,None,1.0,27.0,0
198,Murkrow,Dark,Flying,0.5,2.1,0
199,Slowking,Water,Psychic,2.0,79.5,0
200,Misdreavus,Ghost,None,0.7,1.0,0
201,Unown,Psychic,None,0.5,5.0,0
202,Wobbuffet,Psychic,None,1.3,28.5,0
203,Girafarig,Normal,Psychic,1.5,41.5,0
204,Pineco,Bug,None,0.6,7.2,0
205,Forretress,Bug,Steel,1.2,125.8,0
206,Dunsparce,Normal,None,1.5,14.0,0
207,Gligar,Ground,Flying,1.1,64.8,0
208,Steelix,Steel,Ground,9.2,400.0,0
209,Snubbull,Fairy,None,0.6,7.8,0
210,Granbull,Fairy,None,1.2,28.7,0
211,Qwilfish,Water,Poison,0.5,3.9,0
212,Scizor,Bug,Steel,1.8,118.0,0
213,Shuckle,Bug,Rock,0.6,20.5,0
214,Heracross,Bug,Fighting,1.5,54.0,0
215,Sneasel,Dark,Ice,0.9,28.0,0
216,Teddiursa,Normal,None,0.6,8.8,0
217,Ursaring,Normal,None,1.8,125.8,0
218,Slugma,Fire,None,0.7,35.0,0
219,Magcargo,Fire,Rock,0.8,55.0,0
220,Swinub,Ice,Ground,0.4,6.5,0
221,Piloswine,Ice,Ground,1.1,55.8,0
222,Corsola,Water,Rock,0.6,5.0,0
223,Remoraid,Water,None,0.6,12.0,0
224,Octillery,Water,None,0.9,28.5,0
225,Delibird,Ice,Flying,0.9,16.0,0
226,Mantine,Water,Flying,2.1,220.0,0
227,Skarmory,Steel,Flying,1.7,50.5,0
228,Houndour,Dark,Fire,0.6,10.8,0
229,Houndoom,Dark,Fire,1.4,35.0,0
230,Kingdra,Water,Dragon,1.8,152.0,0
231,Phanpy,Ground,None,0.5,33.5,0
232,Donphan,Ground,None,1.1,120.0,0
233,Porygon2,Normal,None,0.6,32.5,0
234,Stantler,Normal,None,1.4,71.2,0
235,Smeargle,Normal,None,1.2,32.0,0
236,Tyrogue,Fighting,None,0.7,21.0,0
237,Hitmontop,Fighting,None,1.4,48.0,0
238,Smoochum,Ice,Psychic,0.4,6.0,0
239,Elekid,Electric,None,0.6,23.5,0
240,Magby,Fire,None,0.7,21.4,0
241,Miltank,Normal,None,1.2,75.5,0
242,Blissey,Normal,None,1.5,46.8,0
243,Raikou,Electric,None,1.9,178.0,1
244,Entei,Fire,None,2.1,198.0,1
245,Suicune,Water,None,2.0,187.0,1
246,Larvitar,Rock,Ground,0.6,72.0,0
247,Pupitar,Rock,Ground,1.2,152.0,0
248,Tyranitar,Rock,Dark,2.0,202.0,0
249,Lugia,Psychic,Flying,5.2,216.0,1
250,Ho-Oh,Fire,Flying,3.8,199.0,1
251,Celebi,Psychic,Grass,0.6,5.0,1
